Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000171	JC_09304-RA, JC_09306-RA, JC_09305-RA	DPOGS207651-PA
OG0000171	JC_09303-RA	DPOGS207652-PA
OG0000172	JC_11633-RA, JC_11631-RA, JC_11632-RA	DPOGS211762-PA
OG0000174	JC_01298-RA	DPOGS203785-PA
OG0000174	JC_01295-RA	DPOGS203786-PA
OG0000174	JC_02058-RA	DPOGS201355-PA
OG0000175	JC_15584-RA	DPOGS213653-PA
OG0000175	JC_03752-RA	DPOGS212172-PA
OG0000175	JC_07347-RA	DPOGS201184-PA
OG0000177	JC_01037-RA, JC_16807-RA, JC_03373-RA, JC_12881-RA	DPOGS215539-PA
OG0000177	JC_15090-RA, JC_15171-RA, JC_15065-RA, JC_15061-RA, JC_05135-RA, JC_13829-RA, JC_11108-RA, JC_15062-RA, JC_16605-RA, JC_13926-RA	DPOGS213999-PA
OG0000178	JC_15551-RA	DPOGS213916-PA
OG0000178	JC_15684-RA	DPOGS202584-PA, DPOGS208620-PA
OG0000179	JC_05652-RA	DPOGS215238-PA
OG0000180	JC_01798-RA	DPOGS203313-PA
OG0000180	JC_01797-RA	DPOGS202992-PA
OG0000181	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA	DPOGS204734-PA, DPOGS204733-PA
OG0000182	JC_06575-RA, JC_06574-RA, JC_04497-RA, JC_04499-RA, JC_04506-RA, JC_04504-RA, JC_04507-RA, JC_04500-RA, JC_04502-RA, JC_04503-RA, JC_04505-RA, JC_04501-RA	DPOGS210084-PA
OG0000183	JC_09899-RA	DPOGS211358-PA
OG0000183	JC_00847-RA	DPOGS210612-PA
OG0000183	JC_02435-RA	DPOGS202050-PA
OG0000184	JC_04529-RA, JC_04531-RA	DPOGS210000-PA
OG0000184	JC_06432-RA	DPOGS210945-PA
OG0000184	JC_06434-RA	DPOGS211022-PA
OG0000185	JC_11317-RA	DPOGS207886-PA
