Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000145	Vcard_DToL04524-RA	JC_03183-RA
OG0000147	Vcard_DToL09989-RA, Vcard_DToL09990-RA	JC_05667-RA, JC_05669-RA, JC_05666-RA
OG0000152	Vcard_DToL01543-RA	JC_01150-RA
OG0000152	Vcard_DToL01538-RA	JC_01147-RA
OG0000152	Vcard_DToL01542-RA	JC_01149-RA
OG0000153	Vcard_DToL04556-RA	JC_03143-RA
OG0000153	Vcard_DToL04750-RA	JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA
OG0000154	Vcard_DToL05463-RA	JC_05850-RA, JC_05851-RA, JC_01364-RA
OG0000154	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA
OG0000155	Vcard_DToL15443-RA, Vcard_DToL15439-RA	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA
OG0000156	Vcard_DToL12566-RA	JC_10982-RA, JC_10978-RA
OG0000156	Vcard_DToL12564-RA	JC_10980-RA
OG0000156	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA	JC_15886-RA, JC_10973-RA
OG0000161	Vcard_DToL07216-RA, Vcard_DToL10609-RA	JC_16940-RA
OG0000161	Vcard_DToL18175-RA	JC_05892-RA
OG0000162	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA	JC_10317-RA, JC_10318-RA
OG0000163	Vcard_DToL13540-RA	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA
OG0000164	Vcard_DToL18259-RA	JC_16411-RA
OG0000165	Vcard_DToL03458-RA, Vcard_DToL03457-RA	JC_02467-RA, JC_02466-RA
OG0000165	Vcard_DToL03464-RA	JC_02470-RA, JC_02468-RA
OG0000166	Vcard_DToL10237-RA	JC_06064-RA
OG0000166	Vcard_DToL10075-RA	JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA
